"TARIM, ORMANCILIK VE BALIKÇILIK",,
Sıra,Kod,Şirket Unvanı
1,AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.
2,IZINV,İZ YATIRIM HOLDİNG A.Ş.
3,KNFRT,KONFRUT TARIM A.Ş.
4,OZSUB,ÖZSU BALIK ÜRETİM A.Ş.
5,YAPRK,YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.


MADENCİLİK VE TAŞ OCAKÇILIĞI,,
Sıra,Kod,Şirket Unvanı
1,CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.
2,PRKME,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.
3,RUZYE,RUZY MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.
4,TRMET,TR ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.
5,TRENJ,TR DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.
6,TRALT,TÜRK ALTIN İŞLETMELERİ A.Ş.
7,VSNMD,VİŞNE MADENCİLİK ÜRETİM SANAYİ VE TİCARET A.Ş.


İMALAT,,
Sıra,Kod,Şirket Unvanı
1,AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.
2,ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.
3,ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.
4,AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.
5,AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
6,ATEKS,AKIN TEKSTİL A.Ş.
7,AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.
8,ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.
9,ALKIM,ALKİM ALKALİ KİMYA A.Ş.
10,ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.
11,ALKLC,ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.
12,ALVES,ALVES KABLO SANAYİ VE TİCARET A.Ş.
13,AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.
14,ASUZU,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.
15,ANGEN,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.
16,ARCLK,ARÇELİK A.Ş.
17,ARMGD,ARMADA GIDA TİCARET SANAYİ A.Ş.
18,ARSAN,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.
19,ARTMS,ARTEMİS HALI A.Ş.
20,ASTOR,ASTOR ENERJİ A.Ş.
21,ATAKP,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.
22,AYES,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.
23,AYGAZ,AYGAZ A.Ş.
24,BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.
25,BAHKM,BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.
26,BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.
27,BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.
28,BALSU,BALSU GIDA SANAYİ VE TİCARET A.Ş.
29,BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.
30,BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.
31,BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.
32,BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.
33,BTCIM,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.
34,BSOKE,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.
35,BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.
36,BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.
37,BESLR,BESLER GIDA VE KİMYA SANAYİ VE TİCARET A.Ş.
38,BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.
39,BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.
40,BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.
41,BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.
42,BLUME,BLUME METAL KİMYA A.Ş.
43,BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.
44,BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.
45,BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.
46,BORSK,BOR ŞEKER A.Ş.
47,BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.
48,BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
49,BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.
50,BRISA,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.
51,BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.
52,BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.
53,BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.
54,BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.
55,CEMZY,CEM ZEYTİN A.Ş.
56,CCOLA,COCA-COLA İÇECEK A.Ş.
57,CGCAM,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.
58,CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.
59,CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.
60,CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.
61,CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.
